,0
latitude,float64
longitude,float64
year,int32
t2m_z_sum,float64
t2m_z_mean,float64
tp_z_sum,float64
tp_z_mean,float64
e_z_sum,float64
e_z_mean,float64
pev_z_sum,float64
pev_z_mean,float64
stl1_z_sum,float64
stl1_z_mean,float64
stl2_z_sum,float64
stl2_z_mean,float64
slt_z_sum,float64
slt_z_mean,float64
swvl1_z_sum,float64
swvl1_z_mean,float64
swvl2_z_sum,float64
swvl2_z_mean,float64
t2m_sum,float32
t2m_mean,float32
tp_sum,float32
tp_mean,float32
e_sum,float32
e_mean,float32
pev_sum,float32
pev_mean,float32
stl1_sum,float32
stl1_mean,float32
stl2_sum,float32
stl2_mean,float32
slt_sum,float32
slt_mean,float32
swvl1_sum,float32
swvl1_mean,float32
swvl2_sum,float32
swvl2_mean,float32
