,Missing Values,Percentage
NUM_POSTE,0,0.0
NOM_USUEL,0,0.0
LAT,0,0.0
LON,0,0.0
ALTI,0,0.0
AAAAMM,0,0.0
RR,65,0.49038098830629956
QRR,65,0.49038098830629956
NBRR,55,0.4149377593360996
RR_ME,13188,99.49453036589966
RRAB,65,0.49038098830629956
QRRAB,65,0.49038098830629956
RRABDAT,92,0.6940777065258393
NBJRR1,65,0.49038098830629956
NBJRR5,65,0.49038098830629956
NBJRR10,65,0.49038098830629956
NBJRR30,65,0.49038098830629956
NBJRR50,65,0.49038098830629956
NBJRR100,65,0.49038098830629956
PMERM,12788,96.47680120709167
QPMERM,12788,96.47680120709167
NBPMERM,55,0.4149377593360996
PMERMINAB,12788,96.47680120709167
QPMERMINAB,12788,96.47680120709167
PMERMINABDAT,12788,96.47680120709167
TX,5776,43.57600905318748
QTX,5776,43.57600905318748
NBTX,55,0.4149377593360996
TX_ME,13237,99.86420218785365
TXAB,5776,43.57600905318748
QTXAB,5776,43.57600905318748
TXDAT,5776,43.57600905318748
TXMIN,5776,43.57600905318748
QTXMIN,5776,43.57600905318748
TXMINDAT,5776,43.57600905318748
NBJTX0,5776,43.57600905318748
NBJTX25,5776,43.57600905318748
NBJTX30,5776,43.57600905318748
NBJTX35,5776,43.57600905318748
NBJTXI20,5776,43.57600905318748
NBJTXI27,5776,43.57600905318748
NBJTXS32,5776,43.57600905318748
TN,5777,43.583553376084495
QTN,5777,43.583553376084495
NBTN,55,0.4149377593360996
TN_ME,13237,99.86420218785365
TNAB,5776,43.57600905318748
QTNAB,5776,43.57600905318748
TNDAT,5776,43.57600905318748
TNMAX,5776,43.57600905318748
QTNMAX,5776,43.57600905318748
TNMAXDAT,5776,43.57600905318748
NBJTN5,5776,43.57600905318748
NBJTN10,5776,43.57600905318748
NBJTNI10,5776,43.57600905318748
NBJTNI15,5776,43.57600905318748
NBJTNI20,5776,43.57600905318748
NBJTNS20,5776,43.57600905318748
NBJTNS25,5776,43.57600905318748
NBJGELEE,5776,43.57600905318748
TAMPLIM,5778,43.59109769898152
QTAMPLIM,5778,43.59109769898152
TAMPLIAB,5777,43.583553376084495
QTAMPLIAB,5777,43.583553376084495
TAMPLIABDAT,5777,43.583553376084495
NBTAMPLI,55,0.4149377593360996
TM,5777,43.583553376084495
QTM,5777,43.583553376084495
NBTM,55,0.4149377593360996
TMM,7499,56.57487740475292
QTMM,7499,56.57487740475292
NBTMM,55,0.4149377593360996
NBJTMS24,7499,56.57487740475292
TMMIN,5777,43.583553376084495
QTMMIN,5777,43.583553376084495
TMMINDAT,5777,43.583553376084495
TMMAX,5777,43.583553376084495
QTMMAX,5777,43.583553376084495
TMMAXDAT,5777,43.583553376084495
UNAB,9546,72.01810637495285
QUNAB,9546,72.01810637495285
UNABDAT,9546,72.01810637495285
NBUN,55,0.4149377593360996
UXAB,9546,72.01810637495285
QUXAB,9546,72.01810637495285
UXABDAT,9546,72.01810637495285
NBUX,55,0.4149377593360996
UMM,9546,72.01810637495285
QUMM,9546,72.01810637495285
NBUM,55,0.4149377593360996
TSVM,9545,72.01056205205583
QTSVM,9545,72.01056205205583
NBTSVM,55,0.4149377593360996
ETP,12794,96.5220671444738
QETP,12794,96.5220671444738
FXIAB,9554,72.07846095812901
QFXIAB,9554,72.07846095812901
DXIAB,9566,72.16899283289325
QDXIAB,9554,72.07846095812901
FXIDAT,9548,72.03319502074689
NBJFF10,9548,72.03319502074689
NBJFF16,9548,72.03319502074689
NBJFF28,9548,72.03319502074689
NBFXI,55,0.4149377593360996
FXI3SAB,12128,91.49754809505846
QFXI3SAB,12128,91.49754809505846
DXI3SAB,13255,100.0
QDXI3SAB,12128,91.49754809505846
FXI3SDAT,12128,91.49754809505846
NBJFXI3S10,12128,91.49754809505846
NBJFXI3S16,12128,91.49754809505846
NBJFXI3S28,12128,91.49754809505846
NBFXI3S,55,0.4149377593360996
FXYAB,9849,74.3040362127499
QFXYAB,9849,74.3040362127499
DXYAB,9856,74.35684647302905
QDXYAB,9849,74.3040362127499
FXYABDAT,9843,74.25877027536778
NBJFXY8,9843,74.25877027536778
NBJFXY10,9843,74.25877027536778
NBJFXY15,9843,74.25877027536778
NBFXY,55,0.4149377593360996
FFM,9554,72.07846095812901
QFFM,9554,72.07846095812901
NBFFM,55,0.4149377593360996
INST,12786,96.46171256129762
QINST,12786,96.46171256129762
NBINST,55,0.4149377593360996
NBSIGMA0,12786,96.46171256129762
NBSIGMA20,12786,96.46171256129762
NBSIGMA80,12786,96.46171256129762
GLOT,12793,96.51452282157676
QGLOT,12793,96.51452282157676
NBGLOT,55,0.4149377593360996
DIFT,13255,100.0
QDIFT,13255,100.0
NBDIFT,55,0.4149377593360996
DIRT,13255,100.0
QDIRT,13255,100.0
NBDIRT,55,0.4149377593360996
HNEIGEFTOT,6788,51.21086382497171
QHNEIGEFTOT,6788,51.21086382497171
HNEIGEFAB,6788,51.21086382497171
QHNEIGEFAB,6788,51.21086382497171
HNEIGEFDAT,11351,85.63560920407394
NBHNEIGEF,55,0.4149377593360996
NBJNEIG,10331,77.94039984911353
NBJHNEIGEF1,6788,51.21086382497171
NBJHNEIGEF5,6788,51.21086382497171
NBJHNEIGEF10,6788,51.21086382497171
NBJSOLNG,13029,98.29498302527348
NEIGETOTM,6449,48.65333836288193
QNEIGETOTM,6449,48.65333836288193
NEIGETOTAB,6449,48.65333836288193
QNEIGETOTAB,6449,48.65333836288193
NEIGETOTABDAT,11196,84.46623915503584
NBJNEIGETOT1,6448,48.645794039984914
NBJNEIGETOT10,6448,48.645794039984914
NBJNEIGETOT30,6448,48.645794039984914
NBJGREL,12450,93.9268200678989
NBJORAG,9102,68.66842700867596
NBJBROU,9546,72.01810637495285
latitude,0,0.0
longitude,0,0.0
